size_bytes,trial,recv_seconds,recv_microseconds,work_iters_done
262144,3,0.0009146,914,100000
262144,4,0.000888699,888,100000
262144,5,0.0009331,933,100000
262144,6,0.0009032,903,100000
262144,7,0.0011439,1143,100000
262144,8,0.0009532,953,100000
262144,9,0.0010482,1048,100000
262144,10,0.0009985,998,100000
262144,11,0.0008764,876,100000
262144,12,0.0008728,872,100000
262144,13,0.0012624,1262,100000
262144,14,0.0009464,946,100000
262144,15,0.0008965,896,100000
262144,16,0.0008933,893,100000
262144,17,0.0009601,960,100000
262144,18,0.0008794,879,100000
262144,19,0.0008922,892,100000
262144,20,0.0008754,875,100000
262144,21,0.0009075,907,100000
262144,22,0.0008857,885,100000
262144,23,0.0008523,852,100000
262144,24,0.001006299,1006,100000
262144,25,0.0010016,1001,100000
262144,26,0.0008447,844,100000
262144,27,0.0008304,830,100000
262144,28,0.00086,860,100000
262144,29,0.0008297,829,100000
262144,30,0.0008368,836,100000
1048576,1,0.003120199,3120,340000
1048576,2,0.0030334,3033,340000
1048576,3,0.0029777,2977,340000
1048576,4,0.003117999,3117,340000
1048576,5,0.00284,2840,340000
1048576,6,0.0031308,3130,340000
1048576,7,0.002802399,2802,340000
1048576,8,0.0028281,2828,340000
1048576,9,0.0029845,2984,340000
1048576,10,0.0028308,2830,340000
1048576,11,0.002794399,2794,340000
1048576,12,0.002776,2776,340000
1048576,13,0.002838,2837,340000
1048576,14,0.002768499,2768,340000
1048576,15,0.0031284,3128,340000
1048576,16,0.0031236,3123,340000
1048576,17,0.003160199,3160,340000
1048576,18,0.003626,3625,340000
1048576,19,0.0031818,3181,340000
1048576,20,0.002915599,2915,340000
1048576,21,0.0033415,3341,340000
1048576,22,0.0031359,3135,340000
1048576,23,0.002930399,2930,340000
1048576,24,0.0028293,2829,340000
1048576,25,0.0028531,2853,340000
1048576,26,0.002998099,2998,340000
1048576,27,0.0029029,2902,340000
1048576,28,0.0030189,3018,340000
1048576,29,0.003035399,3035,340000
1048576,30,0.0028252,2825,340000
